,Symbol,Industry
0,360ONE,Financial Services
1,3MINDIA,Diversified
2,ABB,Capital Goods
3,ACC,Construction Materials
4,AGI,Capital Goods
5,AIAENG,Capital Goods
6,APLAPOLLO,Capital Goods
7,ASKAUTOLTD,Automobile and Auto Components
8,AUBANK,Financial Services
9,AADHARHFC,Financial Services
10,AARTIDRUGS,Healthcare
11,AARTIIND,Chemicals
12,AARTIPHARM,Healthcare
13,AAVAS,Financial Services
14,ABBOTINDIA,Healthcare
15,ACE,Capital Goods
16,ADANIENSOL,Power
17,ADANIENT,Metals & Mining
18,ADANIGREEN,Power
19,ADANIPORTS,Services
20,ADANIPOWER,Power
21,ATGL,Oil Gas & Consumable Fuels
22,AWL,Fast Moving Consumer Goods
23,ABCAPITAL,Financial Services
24,ABFRL,Consumer Services
25,ABREL,Forest Materials
26,ABSLAMC,Financial Services
27,ADVENZYMES,Healthcare
28,AEGISLOG,Oil Gas & Consumable Fuels
29,AETHER,Chemicals
30,AFFLE,Information Technology
31,AHLUCONT,Construction
32,AJANTPHARM,Healthcare
33,AKUMS,Healthcare
34,APLLTD,Healthcare
35,ALIVUS,Healthcare
36,ALKEM,Healthcare
37,ALKYLAMINE,Chemicals
38,ALLCARGO,Services
39,ALOKINDS,Textiles
40,ARE&M,Automobile and Auto Components
41,AMBER,Consumer Durables
42,AMBUJACEM,Construction Materials
43,AMIORG,Healthcare
44,ANANDRATHI,Financial Services
45,ANANTRAJ,Realty
46,ANGELONE,Financial Services
47,ANURAS,Chemicals
48,APARINDS,Capital Goods
49,PARKHOTELS,Consumer Services
50,APOLLOHOSP,Healthcare
51,APOLLOTYRE,Automobile and Auto Components
52,APTUS,Financial Services
53,ACI,Chemicals
54,ARVINDFASN,Consumer Services
55,ARVIND,Textiles
56,ASAHIINDIA,Automobile and Auto Components
57,ASHOKLEY,Capital Goods
58,ASHOKA,Construction
59,ASIANPAINT,Consumer Durables
60,ASTERDM,Healthcare
61,ASTRAMICRO,Capital Goods
62,ASTRAZEN,Healthcare
63,ASTRAL,Capital Goods
64,ATUL,Chemicals
65,AUROPHARMA,Healthcare
66,AVALON,Capital Goods
67,AVANTIFEED,Fast Moving Consumer Goods
68,DMART,Consumer Services
69,AXISBANK,Financial Services
70,AZAD,Capital Goods
71,BASF,Chemicals
72,BEML,Capital Goods
73,BLS,Consumer Services
74,BSE,Financial Services
75,BAJAJ-AUTO,Automobile and Auto Components
76,BAJAJCON,Fast Moving Consumer Goods
77,BAJAJELEC,Consumer Durables
78,BAJFINANCE,Financial Services
79,BAJAJFINSV,Financial Services
80,BAJAJHIND,Fast Moving Consumer Goods
81,BAJAJHLDNG,Financial Services
82,BALAMINES,Chemicals
83,BALKRISIND,Automobile and Auto Components
84,BALMLAWRIE,Diversified
85,BALRAMCHIN,Fast Moving Consumer Goods
86,BANCOINDIA,Automobile and Auto Components
87,BANDHANBNK,Financial Services
88,BANKBARODA,Financial Services
89,BANKINDIA,Financial Services
90,MAHABANK,Financial Services
91,BATAINDIA,Consumer Durables
92,BAYERCROP,Chemicals
93,BERGEPAINT,Consumer Durables
94,BEPL,Chemicals
95,BBL,Capital Goods
96,BDL,Capital Goods
97,BEL,Capital Goods
98,BHARATFORG,Automobile and Auto Components
99,BHEL,Capital Goods
100,BPCL,Oil Gas & Consumable Fuels
101,BHARTIARTL,Telecommunication
102,BHARTIHEXA,Telecommunication
103,BIKAJI,Fast Moving Consumer Goods
104,BIOCON,Healthcare
105,BIRLACORPN,Construction Materials
106,BSOFT,Information Technology
107,BLUEDART,Services
108,BLUEJET,Healthcare
109,BLUESTARCO,Consumer Durables
110,BBTC,Fast Moving Consumer Goods
111,BOMDYEING,Textiles
112,BOROLTD,Consumer Durables
113,BORORENEW,Capital Goods
114,BOSCHLTD,Automobile and Auto Components
115,BRIGADE,Realty
116,BRITANNIA,Fast Moving Consumer Goods
117,MAPMYINDIA,Information Technology
118,CCL,Fast Moving Consumer Goods
119,CESC,Power
120,CGPOWER,Capital Goods
121,CIEINDIA,Automobile and Auto Components
122,CMSINFO,Services
123,CRISIL,Financial Services
124,CSBBANK,Financial Services
125,CAMPUS,Consumer Durables
126,CANFINHOME,Financial Services
127,CANBK,Financial Services
128,CAPLIPOINT,Healthcare
129,CGCL,Financial Services
130,CARBORUNIV,Capital Goods
131,CARTRADE,Consumer Services
132,CASTROLIND,Oil Gas & Consumable Fuels
133,CEATLTD,Automobile and Auto Components
134,CELLO,Consumer Durables
135,CENTRALBK,Financial Services
136,CDSL,Financial Services
137,CENTURYPLY,Consumer Durables
138,CERA,Consumer Durables
139,CHALET,Consumer Services
140,CHAMBLFERT,Chemicals
141,CHEMPLASTS,Chemicals
142,CHENNPETRO,Oil Gas & Consumable Fuels
143,CHOICEIN,Financial Services
144,CHOLAHLDNG,Financial Services
145,CHOLAFIN,Financial Services
146,CIGNITITEC,Information Technology
147,CIPLA,Healthcare
148,CUB,Financial Services
149,CLEAN,Chemicals
150,COALINDIA,Oil Gas & Consumable Fuels
151,COCHINSHIP,Capital Goods
152,COFORGE,Information Technology
153,COLPAL,Fast Moving Consumer Goods
154,CAMS,Financial Services
155,CONCORDBIO,Healthcare
156,CONFIPET,Oil Gas & Consumable Fuels
157,CONCOR,Services
158,COROMANDEL,Chemicals
159,CRAFTSMAN,Automobile and Auto Components
160,CREDITACC,Financial Services
161,CROMPTON,Consumer Durables
162,CUMMINSIND,Capital Goods
163,CYIENTDLM,Capital Goods
164,CYIENT,Information Technology
165,DCBBANK,Financial Services
166,DCMSHRIRAM,Diversified
167,DCXINDIA,Capital Goods
168,DLF,Realty
169,DOMS,Fast Moving Consumer Goods
170,DABUR,Fast Moving Consumer Goods
171,DALBHARAT,Construction Materials
172,DATAPATTNS,Capital Goods
173,DATAMATICS,Information Technology
174,DEEPAKFERT,Chemicals
175,DEEPAKNTR,Chemicals
176,DELHIVERY,Services
177,DELTACORP,Consumer Services
178,DEN,Media Entertainment & Publication
179,DEVYANI,Consumer Services
180,DHANI,Financial Services
181,DHANUKA,Chemicals
182,DBL,Construction
183,DISHTV,Media Entertainment & Publication
184,DCAL,Healthcare
185,DIVISLAB,Healthcare
186,DIXON,Consumer Durables
187,DODLA,Fast Moving Consumer Goods
188,LALPATHLAB,Healthcare
189,DRREDDY,Healthcare
190,DREAMFOLKS,Services
191,DYNAMATECH,Capital Goods
192,EIDPARRY,Chemicals
193,EIHOTEL,Consumer Services
194,EPL,Capital Goods
195,ESAFSFB,Financial Services
196,EASEMYTRIP,Consumer Services
197,EDELWEISS,Financial Services
198,EICHERMOT,Automobile and Auto Components
199,ELECON,Capital Goods
200,EMIL,Consumer Services
201,ELECTCAST,Capital Goods
202,ELGIEQUIP,Capital Goods
203,EMAMILTD,Fast Moving Consumer Goods
204,EMBDL,Realty
205,EMCURE,Healthcare
206,ENDURANCE,Automobile and Auto Components
207,ENGINERSIN,Construction
208,ENTERO,Consumer Services
209,EPIGRAL,Chemicals
210,EQUITASBNK,Financial Services
211,ERIS,Healthcare
212,ESCORTS,Capital Goods
213,ETHOSLTD,Consumer Durables
214,EVEREADY,Fast Moving Consumer Goods
215,EXIDEIND,Automobile and Auto Components
216,FDC,Healthcare
217,NYKAA,Consumer Services
218,FEDERALBNK,Financial Services
219,FACT,Chemicals
220,FIEMIND,Automobile and Auto Components
221,FINEORG,Chemicals
222,FCL,Chemicals
223,FINCABLES,Capital Goods
224,FINPIPE,Capital Goods
225,FSL,Services
226,FIVESTAR,Financial Services
227,FORCEMOT,Automobile and Auto Components
228,FORTIS,Healthcare
229,FUSION,Financial Services
230,GRINFRA,Construction
231,GAIL,Oil Gas & Consumable Fuels
232,GVT&D,Capital Goods
233,GHCL,Chemicals
234,GMMPFAUDLR,Capital Goods
235,GMRAIRPORT,Services
236,GABRIEL,Automobile and Auto Components
237,GANESHHOUC,Realty
238,GRSE,Capital Goods
239,GRWRHITECH,Capital Goods
240,GATEWAY,Services
241,GICRE,Financial Services
242,GILLETTE,Fast Moving Consumer Goods
243,GLAND,Healthcare
244,GLAXO,Healthcare
245,GLENMARK,Healthcare
246,MEDANTA,Healthcare
247,GODIGIT,Financial Services
248,GOCOLORS,Consumer Services
249,GPIL,Capital Goods
250,GODFRYPHLP,Fast Moving Consumer Goods
251,GODREJAGRO,Fast Moving Consumer Goods
252,GODREJCP,Fast Moving Consumer Goods
253,GODREJIND,Diversified
254,GODREJPROP,Realty
255,GOKEX,Textiles
256,GOPAL,Fast Moving Consumer Goods
257,GRANULES,Healthcare
258,GRAPHITE,Capital Goods
259,GRASIM,Construction Materials
260,GRAVITA,Metals & Mining
261,GESHIP,Services
262,GREAVESCOT,Capital Goods
263,GREENPANEL,Consumer Durables
264,GREENPLY,Consumer Durables
265,GRINDWELL,Capital Goods
266,GUJALKALI,Chemicals
267,GAEL,Fast Moving Consumer Goods
268,FLUOROCHEM,Chemicals
269,GUJGASLTD,Oil Gas & Consumable Fuels
270,GMDCLTD,Metals & Mining
271,GNFC,Chemicals
272,GPPL,Services
273,GSFC,Chemicals
274,GSPL,Oil Gas & Consumable Fuels
275,GULFOILLUB,Oil Gas & Consumable Fuels
276,HEG,Capital Goods
277,HGINFRA,Construction
278,HBLENGINE,Automobile and Auto Components
279,HCLTECH,Information Technology
280,HDFCAMC,Financial Services
281,HDFCBANK,Financial Services
282,HDFCLIFE,Financial Services
283,HFCL,Telecommunication
284,HAPPSTMNDS,Information Technology
285,HAPPYFORGE,Capital Goods
286,HARSHA,Capital Goods
287,HATHWAY,Media Entertainment & Publication
288,HAVELLS,Consumer Durables
289,HCG,Healthcare
290,HEIDELBERG,Construction Materials
291,HEMIPROP,Services
292,HERITGFOOD,Fast Moving Consumer Goods
293,HEROMOTOCO,Automobile and Auto Components
294,HIKAL,Healthcare
295,HSCL,Chemicals
296,HINDALCO,Metals & Mining
297,HAL,Capital Goods
298,HCC,Construction
299,HINDCOPPER,Metals & Mining
300,HNDFDS,Fast Moving Consumer Goods
301,HINDOILEXP,Oil Gas & Consumable Fuels
302,HINDPETRO,Oil Gas & Consumable Fuels
303,HINDUNILVR,Fast Moving Consumer Goods
304,HINDZINC,Metals & Mining
305,HINDWAREAP,Consumer Durables
306,POWERINDIA,Capital Goods
307,HOMEFIRST,Financial Services
308,HONASA,Fast Moving Consumer Goods
309,HONAUT,Capital Goods
310,HUDCO,Financial Services
311,ICICIBANK,Financial Services
312,ICICIGI,Financial Services
313,ICICIPRULI,Financial Services
314,IDBI,Financial Services
315,IDFCFIRSTB,Financial Services
316,IFBIND,Consumer Durables
317,IFCI,Financial Services
318,IIFLCAPS,Financial Services
319,IIFL,Financial Services
320,INOXINDIA,Capital Goods
